iata_code,name,latitude,longitude,elevation_ft,continent,country_code,region_code,city,airport_type,is_hub,region
AMS,Amsterdam Airport Schiphol,52.308601,4.76389,-11.0,EU,NL,NL-NH,Amsterdam,large_airport,True,NL
ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,,US,US-GA,Atlanta,large_airport,True,US
BKK,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,5.0,AS,TH,TH-10,Bangkok,large_airport,True,TH
BOG,El Dorado International Airport,4.70159,-74.1469,8361.0,SA,CO,CO-DC,Bogota,large_airport,True,CO
CAI,Cairo International Airport,30.111534,31.396694,322.0,AF,EG,EG-C,Cairo,large_airport,True,EG
CDG,Charles de Gaulle International Airport,49.012798,2.55,392.0,EU,FR,FR-IDF,"Paris (Roissy-en-France, Val-d'Oise)",large_airport,True,FR
DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,607.0,,US,US-TX,Dallas-Fort Worth,large_airport,True,US
DOH,Hamad International Airport,25.273056,51.608056,13.0,AS,QA,QA-DA,Doha,large_airport,True,QA
DXB,Dubai International Airport,25.2527999878,55.3643989563,62.0,AS,AE,AE-DU,Dubai,large_airport,True,AE
EZE,Minister Pistarini International Airport,-34.8222,-58.5358,67.0,SA,AR,AR-B,Buenos Aires (Ezeiza),large_airport,True,AR
FCO,Rome–Fiumicino Leonardo da Vinci International Airport,41.804532,12.251998,13.0,EU,IT,IT-62,Rome,large_airport,True,IT
FRA,Frankfurt Airport,50.030241,8.561096,364.0,EU,DE,DE-HE,Frankfurt am Main,large_airport,True,DE
GRU,Guarulhos - Governador André Franco Montoro International Airport,-23.431944,-46.467778,2461.0,SA,BR,BR-SP,São Paulo,large_airport,True,BR
HAN,Noi Bai International Airport,21.221201,105.806999,39.0,AS,VN,VN-RRD,Hanoi (Soc Son),large_airport,True,VN
HKG,Hong Kong International Airport,22.308901,113.915001,28.0,AS,HK,HK-NT,Hong Kong,large_airport,True,HK
HND,Tokyo Haneda International Airport,35.552299,139.779999,35.0,AS,JP,JP-13,Tokyo,large_airport,True,JP
ICN,Incheon International Airport,37.469101,126.450996,23.0,AS,KR,KR-28,Seoul,large_airport,True,KR
IST,İstanbul Airport,41.261297,28.741951,325.0,EU,TR,TR-34,"Arnavutköy, Istanbul",large_airport,True,TR
JFK,John F Kennedy International Airport,40.639447,-73.779317,13.0,,US,US-NY,New York,large_airport,True,US
JNB,O.R. Tambo International Airport,-26.1392,28.246,5558.0,AF,ZA,ZA-GT,Johannesburg,large_airport,True,ZA
LAX,Los Angeles International Airport,33.942501,-118.407997,125.0,,US,US-CA,Los Angeles,large_airport,True,US
LHR,London Heathrow Airport,51.4706,-0.461941,83.0,EU,GB,GB-ENG,London,large_airport,True,GB
MAD,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,1998.0,EU,ES,ES-MD,Madrid,large_airport,True,ES
MEL,Melbourne Airport,-37.661548,144.836432,434.0,OC,AU,AU-VIC,Melbourne,large_airport,True,AU
MEX,Benito Juárez International Airport,19.435137,-99.071328,7316.0,,MX,MX-DIF,Ciudad de México,large_airport,True,MX
MIA,Miami International Airport,25.79319953918457,-80.29060363769531,8.0,,US,US-FL,Miami,large_airport,True,US
ORD,Chicago O'Hare International Airport,41.9786,-87.9048,680.0,,US,US-IL,Chicago,large_airport,True,US
PEK,Beijing Capital International Airport,40.080101013183594,116.58499908447266,116.0,AS,CN,CN-11,Beijing,large_airport,True,CN
