country,origin_airport,origin_name,origin_city,origin_type,origin_is_hub,destination_airport,destination_name,destination_city,destination_type,destination_is_hub,distance_km
AE,DXB,Dubai International Airport,Dubai,large_airport,True,SHJ,Sharjah International Airport,Sharjah,large_airport,False,17.52
AE,SHJ,Sharjah International Airport,Sharjah,large_airport,False,DXB,Dubai International Airport,Dubai,large_airport,True,17.52
AE,DXB,Dubai International Airport,Dubai,large_airport,True,DWC,Al Maktoum International Airport,Jebel Ali,large_airport,False,44.6
AE,DWC,Al Maktoum International Airport,Jebel Ali,large_airport,False,DXB,Dubai International Airport,Dubai,large_airport,True,44.6
AE,DXB,Dubai International Airport,Dubai,large_airport,True,AUH,Zayed International Airport,Abu Dhabi,large_airport,False,115.17
AE,AUH,Zayed International Airport,Abu Dhabi,large_airport,False,DXB,Dubai International Airport,Dubai,large_airport,True,115.17
AE,DXB,Dubai International Airport,Dubai,large_airport,True,RKT,Ras Al Khaimah International Airport,Ras Al Khaimah,medium_airport,False,70.25
AE,RKT,Ras Al Khaimah International Airport,Ras Al Khaimah,medium_airport,False,DXB,Dubai International Airport,Dubai,large_airport,True,70.25
AE,DXB,Dubai International Airport,Dubai,large_airport,True,FJR,Fujairah International Airport,Fujairah,medium_airport,False,97.82
AE,FJR,Fujairah International Airport,Fujairah,medium_airport,False,DXB,Dubai International Airport,Dubai,large_airport,True,97.82
AE,DXB,Dubai International Airport,Dubai,large_airport,True,AAN,Al Ain International Airport,Al Ain,medium_airport,False,112.94
AE,AAN,Al Ain International Airport,Al Ain,medium_airport,False,DXB,Dubai International Airport,Dubai,large_airport,True,112.94
AE,AAN,Al Ain International Airport,Al Ain,medium_airport,False,AUH,Zayed International Airport,Abu Dhabi,large_airport,False,99.08
AE,AUH,Zayed International Airport,Abu Dhabi,large_airport,False,AAN,Al Ain International Airport,Al Ain,medium_airport,False,99.08
AE,AAN,Al Ain International Airport,Al Ain,medium_airport,False,DWC,Al Maktoum International Airport,Jebel Ali,large_airport,False,83.85
AE,DWC,Al Maktoum International Airport,Jebel Ali,large_airport,False,AAN,Al Ain International Airport,Al Ain,medium_airport,False,83.85
