origin_country,destination_country,origin_airport,origin_name,origin_city,origin_type,origin_is_hub,destination_airport,destination_name,destination_city,destination_type,destination_is_hub,distance_km
AE,QA,DXB,Dubai International Airport,Dubai,large_airport,True,DOH,Hamad International Airport,Doha,large_airport,True,377.73
AE,EG,DXB,Dubai International Airport,Dubai,large_airport,True,CAI,Cairo International Airport,Cairo,large_airport,True,2416.15
AE,TR,DXB,Dubai International Airport,Dubai,large_airport,True,IST,İstanbul Airport,"Arnavutköy, Istanbul",large_airport,True,3028.35
AE,IT,DXB,Dubai International Airport,Dubai,large_airport,True,FCO,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,large_airport,True,4342.71
AE,DE,DXB,Dubai International Airport,Dubai,large_airport,True,FRA,Frankfurt Airport,Frankfurt am Main,large_airport,True,4843.75
AE,TH,DXB,Dubai International Airport,Dubai,large_airport,True,BKK,Suvarnabhumi Airport,Bangkok,large_airport,True,4903.71
AE,VN,DXB,Dubai International Airport,Dubai,large_airport,True,HAN,Noi Bai International Airport,Hanoi (Soc Son),large_airport,True,5144.18
AE,NL,DXB,Dubai International Airport,Dubai,large_airport,True,AMS,Amsterdam Airport Schiphol,Amsterdam,large_airport,True,5168.64
AE,FR,DXB,Dubai International Airport,Dubai,large_airport,True,CDG,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",large_airport,True,5238.62
AE,GB,DXB,Dubai International Airport,Dubai,large_airport,True,LHR,London Heathrow Airport,London,large_airport,True,5497.93
AE,VN,DXB,Dubai International Airport,Dubai,large_airport,True,SGN,Tan Son Nhat International Airport,Ho Chi Minh City,large_airport,True,5618.74
AE,ES,DXB,Dubai International Airport,Dubai,large_airport,True,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,large_airport,True,5648.83
AE,CN,DXB,Dubai International Airport,Dubai,large_airport,True,PEK,Beijing Capital International Airport,Beijing,large_airport,True,5845.09
AE,SG,DXB,Dubai International Airport,Dubai,large_airport,True,SIN,Singapore Changi Airport,Singapore,large_airport,True,5846.66
AE,HK,DXB,Dubai International Airport,Dubai,large_airport,True,HKG,Hong Kong International Airport,Hong Kong,large_airport,True,5919.68
AE,ZA,DXB,Dubai International Airport,Dubai,large_airport,True,JNB,O.R. Tambo International Airport,Johannesburg,large_airport,True,6413.1
AE,KR,DXB,Dubai International Airport,Dubai,large_airport,True,ICN,Incheon International Airport,Seoul,large_airport,True,6728.93
AE,JP,DXB,Dubai International Airport,Dubai,large_airport,True,HND,Tokyo Haneda International Airport,Tokyo,large_airport,True,7934.62
AE,US,DXB,Dubai International Airport,Dubai,large_airport,True,JFK,John F Kennedy International Airport,New York,large_airport,True,11001.57
AE,CA,DXB,Dubai International Airport,Dubai,large_airport,True,YYZ,Toronto Lester B. Pearson International Airport,Toronto,large_airport,True,11082.19
AE,US,DXB,Dubai International Airport,Dubai,large_airport,True,ORD,Chicago O'Hare International Airport,Chicago,large_airport,True,11640.53
AE,AU,DXB,Dubai International Airport,Dubai,large_airport,True,MEL,Melbourne Airport,Melbourne,large_airport,True,11644.11
AE,AU,DXB,Dubai International Airport,Dubai,large_airport,True,SYD,Sydney Kingsford Smith International Airport,Sydney (Mascot),large_airport,True,12043.88
AE,US,DXB,Dubai International Airport,Dubai,large_airport,True,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,large_airport,True,12209.38
AE,BR,DXB,Dubai International Airport,Dubai,large_airport,True,GRU,Guarulhos - Governador André Franco Montoro International Airport,São Paulo,large_airport,True,12216.42
AE,US,DXB,Dubai International Airport,Dubai,large_airport,True,MIA,Miami International Airport,Miami,large_airport,True,12606.61
AE,US,DXB,Dubai International Airport,Dubai,large_airport,True,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,large_airport,True,12919.39
AE,US,DXB,Dubai International Airport,Dubai,large_airport,True,SFO,San Francisco International Airport,San Francisco,large_airport,True,13019.98
AE,US,DXB,Dubai International Airport,Dubai,large_airport,True,LAX,Los Angeles International Airport,Los Angeles,large_airport,True,13400.08
AE,CO,DXB,Dubai International Airport,Dubai,large_airport,True,BOG,El Dorado International Airport,Bogota,large_airport,True,13630.64
AE,AR,DXB,Dubai International Airport,Dubai,large_airport,True,EZE,Minister Pistarini International Airport,Buenos Aires (Ezeiza),large_airport,True,13675.31
AE,MX,DXB,Dubai International Airport,Dubai,large_airport,True,MEX,Benito Juárez International Airport,Ciudad de México,large_airport,True,14328.83
AE,OM,DXB,Dubai International Airport,Dubai,large_airport,True,MCT,Muscat International Airport,Muscat,large_airport,False,348.48
AE,BH,DXB,Dubai International Airport,Dubai,large_airport,True,BAH,Bahrain International Airport,Manama,large_airport,False,486.58
